已做1	《百年孤独》	[哥伦比亚] 加西亚·马尔克斯	魔幻现实主义巅峰，人物关系极其复杂，最需要卡片梳理七代家族命运
已做2	《活着》	余华	国民级苦难史诗，接连不断的悲剧让读者压抑而停，卡片可分段承受节奏
已做3	《思考，快与慢》	[美] 丹尼尔·卡尼曼	双系统理论与认知偏误密集，500多页实验案例极适合分拆成思维卡片
已做4	《瓦尔登湖》	[美] 亨利·梭罗	极简主义圣经，开篇流水账与账目清单劝退无数人，卡片可只取哲学金句
5	《被讨厌的勇气》	[日] 岸见一郎 / 古贺史健	阿德勒心理学入门神作，但“目的论”“课题分离”极度反直觉，多数人停在第三章
6	《乌合之众》	[法] 古斯塔夫·勒庞	大众心理学必读经典，百年前的精英偏见与断言式论述让现代读者读几章就厌倦
7	《非暴力沟通》	[美] 马歇尔·卢森堡	四要素框架人人皆知，但真正实践完整流程的人极少，适合拆成可操作卡片
8	《也许你该找个人聊聊》	[美] 洛莉·戈特利布	心理治疗师回忆录，531页穿插五条人物线，每条人物可独立成卡
9	《人类简史》	[以色列] 尤瓦尔·赫拉利	三大革命转折点精彩，但农业革命后大量读者觉得重复而半途而废
10	《枪炮、病菌与钢铁》	[美] 贾雷德·戴蒙德	地理决定论巨著，500多页密集案例让非专业读者望而生畏
11	《自私的基因》	[英] 理查德·道金斯	“基因中心论”颠覆常识，动物行为学细节多，适合用卡片解释核心概念
12	《1984》	[英] 乔治·奥威尔	反乌托邦标杆，“新话”附录与双重思想逻辑循环让部分读者卡住
13	《我与地坛》	史铁生	散文巅峰，哲学密度极高，许多人读完第一章便以为读完，适合分拆主题
14	《月亮与六便士》	[英] 毛姆	探讨艺术与道德冲突，主角的偏执与自私让传统读者不适，弃读率意外高
15	《许三观卖血记》	余华	重复的卖血场景带来生理与心理双重压抑，卡片可提炼每一次卖血的社会处境
16	《围城》	钱锺书	比喻密集到窒息，讽刺与隐喻累人，卡片可分段赏析精妙比喻与婚姻隐喻
17	《杀死一只知更鸟》	[美] 哈珀·李	前半部分孩童视角慢节奏让期待庭审的读者提前放弃，卡片可直击辩护核心
18	《局外人》	[法] 阿尔贝·加缪	存在主义代表作，冷漠的叙事语调让习惯情感代入的读者读不下去
19	《动物农场》	[英] 乔治·奥威尔	政治寓言短小精悍，但从政变到七诫全部抹去的黑暗转折让读者不愿读完
20	《献给阿尔吉侬的花束》	[美] 丹尼尔·凯斯	开篇大量错字直接劝退，卡片可对比手术前后的认知变化与伦理困境
21	《房思琪的初恋乐园》	林奕含	内容极度痛苦、隐喻密集，大量读者因心理不适中途停止，卡片提供缓冲
22	《城堡》	[奥地利] 弗兰兹·卡夫卡	卡夫卡未完成，叙事循环压抑，读者在主角永远到不了的迷宫中迷失
23	《生死疲劳》	莫言	600多页，六道轮回（驴牛猪狗猴人）天然分拆成动物章节卡片，独立成卡

# ===== 认知观察系列（冷感认知档案馆 · 优先队列） =====
优先1	《娱乐至死》	[美] 尼尔·波兹曼	"媒介即隐喻"——电视如何把一切变成娱乐，抖音时代预言书
优先2	《景观社会》	[法] 居伊·德波	"生活呈现为景观的庞大堆积"——比《娱乐至死》更早、更狠
优先3	《1984》	[英] 乔治·奥威尔	反乌托邦标杆，双重思想逻辑循环
优先4	《社会性动物》	[美] 艾略特·阿伦森	社会心理学圣经，比《乌合之众》更现代、更科学
优先5	《自卑与超越》	[奥地利] 阿尔弗雷德·阿德勒	个体心理学奠基，自卑感如何驱动一切行为
优先6	《人性的弱点》	[美] 戴尔·卡耐基	人际关系的底层逻辑，百年畅销不衰
优先7	《沉思录》	[古罗马] 马可·奥勒留	罗马皇帝的自省日记，斯多葛哲学巅峰
